17-2-6 下午1:06
项目统计

     	  片段	   词汇	字符（无空白）	字符（含空白）	#Files	
总共：  	5185	79901	 500595	 577343	   103	
剩余：  	3952	54653	 355095	 405309	   100	
独特：  	4846	78812	 494127	 569894	   103	
剩余独特：	3663	53853	 350163	 399679	   100	


单文件统计：

文件名                                                                                     	总片段	剩余片段	独特片段	剩余独特片段	总计词汇	剩余词汇	独特词汇	剩余独特词汇	总字符（无空白）	剩余字符（无空白）	独特字符（无空白）	剩余独特字符（无空白）	总字符（含空白）	剩余字符（含空白）	独特字符（含空白）	剩余独特字符（含空白）	
tutorials/01_Play_Pen/Shadows.md                                                        	 53	   2	  51	     2	 708	  11	 701	    11	    4188	      106	     4159	        106	    4780	      113	     4744	        113	
tutorials/01_Play_Pen/Parametric_Shapes.md                                              	103	  82	  96	    75	2490	1911	2398	  1819	   14174	    11129	    13713	      10668	   16707	    13093	    16151	      12537	
tutorials/01_Play_Pen/Ribbon_Tutorial.md                                                	166	 165	 140	   139	2285	2262	2178	  2155	   11823	    11693	    11333	      11203	   14113	    13963	    13507	      13357	
tutorials/01_Play_Pen/Supporting_fog_with_ShaderMaterial.md                             	 40	  39	  35	    34	 235	 204	 235	   204	    1606	     1445	     1601	       1440	    1824	     1635	     1819	       1630	
tutorials/01_Play_Pen/CreateBox_Per_Face_Textures_And_Colors.md                         	 76	  76	  63	    63	 842	 842	 818	   818	    4397	     4397	     4261	       4261	    5191	     5191	     5037	       5037	
tutorials/01_Play_Pen/Mesh_CreateXXX_Methods_With_Options_Parameter.md                  	 75	  74	  71	    70	2619	2589	2601	  2571	   17661	    17485	    17550	      17374	   19660	    19456	    19534	      19330	
tutorials/02_Mid_Level/Advanced_Texturing.md                                            	 68	  66	  66	    66	1075	1067	1067	  1067	    7346	     7321	     7321	       7321	    8193	     8161	     8161	       8161	
tutorials/02_Mid_Level/Caching_Resources_in_IndexedDB.md                                	 45	  45	  44	    44	 578	 578	 577	   577	    2869	     2869	     2867	       2867	    3389	     3389	     3387	       3387	
tutorials/02_Mid_Level/Creating_a_3D_WebGL_Procedural_QR-Code_Maze_with_Physics.md      	  3	   3	   3	     3	  33	  33	  33	    33	     274	      274	      274	        274	     292	      292	      292	        292	
tutorials/02_Mid_Level/Creating_a_Convincing_World.md                                   	  3	   3	   3	     3	  27	  27	  27	    27	     274	      274	      274	        274	     287	      287	      287	        287	
tutorials/02_Mid_Level/Creating_a_custom_loading_screen.md                              	 30	  30	  29	    29	 160	 160	 160	   160	    1272	     1272	     1271	       1271	    1408	     1408	     1407	       1407	
tutorials/02_Mid_Level/Creating_a_Small_3D_Game_with_Babylon.js.md                      	  3	   3	   3	     3	  31	  31	  31	    31	     269	      269	      269	        269	     285	      285	      285	        285	
tutorials/02_Mid_Level/Customizing_Camera_Inputs.md                                     	 50	  50	  50	    50	 660	 660	 660	   660	    4222	     4222	     4222	       4222	    4804	     4804	     4804	       4804	
tutorials/02_Mid_Level/Loading_a_Scene_Produced_with_Blender.md                         	  3	   3	   3	     3	  29	  29	  29	    29	     244	      244	      244	        244	     259	      259	      259	        259	
tutorials/02_Mid_Level/More_About_Lights.md                                             	  3	   3	   3	     3	  26	  26	  26	    26	     215	      215	      215	        215	     227	      227	      227	        227	
tutorials/02_Mid_Level/Playing_sounds_and_music.md                                      	195	 195	 188	   188	2332	2332	2308	  2308	   14551	    14551	    14441	      14441	   16971	    16971	    16842	      16842	
tutorials/02_Mid_Level/Position,_Rotate,_Translate_and_Spaces.md                        	136	 135	 132	   131	1926	1896	1918	  1888	   11826	    11649	    11778	      11601	   13489	    13285	    13437	      13233	
tutorials/02_Mid_Level/Position,_Rotation,_Scaling.md                                   	 35	  34	  33	    33	 535	 530	 525	   525	    3266	     3250	     3216	       3216	    3706	     3684	     3646	       3646	
tutorials/02_Mid_Level/The_Babylon.js_Sandbox_and_Editor.md                             	  3	   3	   3	     3	  29	  29	  29	    29	     264	      264	      264	        264	     278	      278	      278	        278	
tutorials/02_Mid_Level/Understanding_Shaders_with_Babylon.js_and_ShaderMaterial.md      	 10	  10	  10	    10	 124	 124	 124	   124	     977	      977	      977	        977	    1062	     1062	     1062	       1062	
tutorials/02_Mid_Level/Unleash_the_StandardMaterial.md                                  	  3	   3	   3	     3	  26	  26	  26	    26	     243	      243	      243	        243	     255	      255	      255	        255	
tutorials/02_Mid_Level/Using_decals.md                                                  	  8	   8	   8	     8	 144	 144	 144	   144	     833	      833	      833	        833	     959	      959	      959	        959	
tutorials/02_Mid_Level/Using_Multi-Materials.md                                         	  3	   3	   3	     3	  25	  25	  25	    25	     205	      205	      205	        205	     216	      216	      216	        216	
tutorials/02_Mid_Level/Using_parallax_mapping.md                                        	 27	  27	  27	    27	 449	 449	 449	   449	    2524	     2524	     2524	       2524	    2921	     2921	     2921	       2921	
tutorials/02_Mid_Level/Using_the_Cannon.js_Physics_Engine.md                            	  3	   3	   3	     3	  28	  28	  28	    28	     287	      287	      287	        287	     301	      301	      301	        301	
tutorials/02_Mid_Level/Using_the_Incremental_Loading_System.md                          	  6	   6	   6	     6	 150	 150	 150	   150	     883	      883	      883	        883	    1007	     1007	     1007	       1007	
tutorials/02_Mid_Level/Using_the_Oimo.js_Physics_Engine.md                              	  3	   3	   3	     3	  28	  28	  28	    28	     266	      266	      266	        266	     280	      280	      280	        280	
tutorials/02_Mid_Level/Using_WebGL_to_Create_Games_for_the_Windows_Store.md             	  3	   3	   3	     3	  32	  32	  32	    32	     238	      238	      238	        238	     256	      256	      256	        256	
tutorials/03_Advanced/Adding_Your_Own_Physics_Engine_Plugin_to_Babylon.js.md            	 27	  27	  27	    27	 315	 315	 315	   315	    2066	     2066	     2066	       2066	    2356	     2356	     2356	       2356	
tutorials/03_Advanced/How_Rotations_and_Translations_Work.md                            	 45	  45	  44	    44	 848	 848	 846	   846	    5182	     5182	     5171	       5171	    5948	     5948	     5936	       5936	
tutorials/03_Advanced/How_to_create_a_material_for_materialsLibrary.md                  	 78	  78	  72	    72	 544	 544	 543	   543	    4655	     4655	     4627	       4627	    5106	     5106	     5077	       5077	
tutorials/03_Advanced/How_to_create_a_proceduralTexture_for_procedutalTexturesLibrary.md	 94	  94	  63	    63	 753	 753	 697	   697	    5949	     5949	     5514	       5514	    6557	     6557	     6076	       6076	
tutorials/03_Advanced/How_to_Create_Your_Own_File_Importer.md                           	  6	   6	   6	     6	 147	 147	 147	   147	     982	      982	      982	        982	    1190	     1190	     1190	       1190	
tutorials/03_Advanced/How_to_dynamically_morph_a_mesh.md                                	128	 128	 107	   107	2125	2125	2027	  2027	   12639	    12639	    12241	      12241	   14695	    14695	    14216	      14216	
tutorials/03_Advanced/How_to_Merge_Meshes.md                                            	 23	  23	  23	    23	 485	 485	 485	   485	    4346	     4346	     4346	       4346	    5252	     5252	     5252	       5252	
tutorials/03_Advanced/How_to_use_Actions.md                                             	124	 124	 117	   117	1074	1074	1054	  1054	    8360	     8360	     8151	       8151	    9309	     9309	     9086	       9086	
tutorials/03_Advanced/How_to_use_AssetsManager.md                                       	 29	  29	  29	    29	 300	 300	 300	   300	    2374	     2374	     2374	       2374	    2669	     2669	     2669	       2669	
tutorials/03_Advanced/How_to_use_Blend_Modes.md                                         	 35	  35	  33	    33	 520	 520	 506	   506	    3030	     3030	     2950	       2950	    3525	     3525	     3431	       3431	
tutorials/03_Advanced/How_to_use_Bones_and_Skeletons.md                                 	 42	  42	  42	    42	 613	 613	 613	   613	    4173	     4173	     4173	       4173	    4848	     4848	     4848	       4848	
tutorials/03_Advanced/How_to_use_Curve3.md                                              	 46	  46	  40	    40	 871	 871	 785	   785	    5548	     5548	     5074	       5074	    6437	     6437	     5875	       5875	
tutorials/03_Advanced/How_to_use_DepthRenderer_to_get_depth_values.md                   	 13	  13	  12	    12	 182	 182	 182	   182	    1108	     1108	     1105	       1105	    1276	     1276	     1273	       1273	
tutorials/03_Advanced/How_to_use_EdgesRenderer.md                                       	  8	   8	   8	     8	 120	 120	 120	   120	     683	      683	      683	        683	     789	      789	      789	        789	
tutorials/03_Advanced/How_to_use_FresnelParameters.md                                   	 33	  33	  33	    33	 375	 375	 375	   375	    3490	     3490	     3490	       3490	    3799	     3799	     3799	       3799	
tutorials/03_Advanced/How_to_use_Instances.md                                           	 12	  12	  12	    12	 202	 202	 202	   202	    1221	     1221	     1221	       1221	    1389	     1389	     1389	       1389	
tutorials/03_Advanced/How_to_use_Lens_Flares.md                                         	 13	  13	  13	    13	 250	 250	 250	   250	    1493	     1493	     1493	       1493	    1707	     1707	     1707	       1707	
tutorials/03_Advanced/How_to_use_LOD.md                                                 	 21	  21	  21	    21	 342	 342	 342	   342	    2063	     2063	     2063	       2063	    2394	     2394	     2394	       2394	
tutorials/03_Advanced/How_to_use_Multi-Views.md                                         	 10	  10	  10	    10	 134	 134	 134	   134	     771	      771	      771	        771	     886	      886	      886	        886	
tutorials/03_Advanced/How_to_use_Path3D.md                                              	 14	  14	  14	    14	 434	 434	 434	   434	    2461	     2461	     2461	       2461	    2910	     2910	     2910	       2910	
tutorials/03_Advanced/How_to_use_PostProcesses.md                                       	 66	  66	  66	    66	1089	1089	1089	  1089	    7598	     7598	     7598	       7598	    8672	     8672	     8672	       8672	
tutorials/03_Advanced/How_to_use_PostProcessRenderPipeline.md                           	 41	  41	  41	    41	 731	 731	 731	   731	    6958	     6958	     6958	       6958	    7505	     7505	     7505	       7505	
tutorials/03_Advanced/How_to_use_Procedural_Textures.md                                 	159	 159	 132	   132	1503	1503	1466	  1466	    8871	     8871	     8583	       8583	   10232	    10232	     9927	       9927	
tutorials/03_Advanced/How_to_use_Reflection_probes.md                                   	 15	  15	  15	    15	 191	 191	 191	   191	    1377	     1377	     1377	       1377	    1539	     1539	     1539	       1539	
tutorials/03_Advanced/How_to_use_SceneOptimizer.md                                      	 43	  43	  43	    43	 491	 491	 491	   491	    4300	     4300	     4300	       4300	    4755	     4755	     4755	       4755	
tutorials/03_Advanced/How_to_use_the_Tags_System.md                                     	 89	  89	  89	    89	1145	1145	1145	  1145	    7209	     7209	     7209	       7209	    8209	     8209	     8209	       8209	
tutorials/03_Advanced/How_to_use_Tiled_Grounds.md                                       	  2	   2	   2	     2	  24	  24	  24	    24	     213	      213	      213	        213	     227	      227	      227	        227	
tutorials/03_Advanced/How_to_use_VirtualJoysticksCamera.md                              	 45	  44	  39	    39	 394	 388	 382	   382	    2704	     2663	     2568	       2568	    3030	     2984	     2884	       2884	
tutorials/03_Advanced/In-Browser_Mesh_Simplification_(Auto-LOD).md                      	144	 144	 134	   134	1641	1641	1631	  1631	    9204	     9204	     9184	       9184	   10792	    10792	    10772	      10772	
tutorials/03_Advanced/Layermasks_and_Multi-Cam_Textures.md                              	 13	  13	  13	    13	 844	 844	 844	   844	    5533	     5533	     5533	       5533	    6180	     6180	     6180	       6180	
tutorials/03_Advanced/Optimizing_your_scene.md                                          	 18	  18	  18	    18	 259	 259	 259	   259	    1507	     1507	     1507	       1507	    1740	     1740	     1740	       1740	
tutorials/03_Advanced/Optimizing_Your_Scene_with_Octrees.md                             	 34	  34	  34	    34	 503	 503	 503	   503	    3125	     3125	     3125	       3125	    3576	     3576	     3576	       3576	
tutorials/03_Advanced/Render_Scene_on_a_PNG.md                                          	 18	  18	  18	    18	 305	 305	 305	   305	    1638	     1638	     1638	       1638	    1919	     1919	     1919	       1919	
tutorials/03_Advanced/Solid_Particle_System.md                                          	333	 333	 319	   319	5860	5860	5803	  5803	   33189	    33189	    32893	      32893	   39172	    39172	    38806	      38806	
tutorials/03_Advanced/Transparency_and_How_Meshes_Are_Rendered.md                       	 95	  95	  90	    90	1545	1545	1540	  1540	    8195	     8195	     8185	       8185	    9647	     9647	     9637	       9637	
tutorials/03_Advanced/Using_depth-of-field_and_other_lens_effects.md                    	 54	  54	  54	    54	 758	 758	 758	   758	    4837	     4837	     4837	       4837	    5481	     5481	     5481	       5481	
tutorials/03_Advanced/Using_logarithmic_depth_buffer.md                                 	 10	  10	  10	    10	 158	 158	 158	   158	     898	      898	      898	        898	    1041	     1041	     1041	       1041	
tutorials/03_Advanced/Using_the_Debug_Layer.md                                          	 28	  28	  27	    27	 437	 437	 435	   435	    2637	     2637	     2625	       2625	    3032	     3032	     3019	       3019	
tutorials/03_Advanced/Using_the_HDR_Rendering_Pipeline.md                               	 39	  39	  38	    38	 359	 359	 357	   357	    2533	     2533	     2523	       2523	    2865	     2865	     2854	       2854	
tutorials/03_Advanced/Using_The_Physics_Engine.md                                       	150	 150	 147	   147	1770	1770	1768	  1768	   11492	    11492	    11472	      11472	   13310	    13310	    13290	      13290	
tutorials/03_Advanced/Using_the_SSAO_rendering_pipeline.md                              	 18	  18	  17	    17	 270	 270	 265	   265	    1922	     1922	     1891	       1891	    2167	     2167	     2132	       2132	
tutorials/03_Advanced/Using_the_Volumetric_LightScattering_post-process.md              	 44	  44	  43	    43	 590	 590	 590	   590	    4120	     4120	     4118	       4118	    4671	     4671	     4669	       4669	
tutorials/Videos/01._3D_on_the_Web_Understanding_the_Basics.md                          	  6	   6	   6	     6	  90	  90	  90	    90	     604	      604	      604	        604	     663	      663	      663	        663	
tutorials/Videos/02._WebGL_Basics.md                                                    	  6	   6	   6	     6	  80	  80	  80	    80	     584	      584	      584	        584	     635	      635	      635	        635	
tutorials/Videos/03._Using_Babylon.js_for_Beginners.md                                  	  7	   7	   6	     6	  84	  84	  83	    83	     600	      600	      590	        590	     656	      656	      644	        644	
tutorials/Videos/04._Understanding_Materials_and_Inputs.md                              	  7	   7	   6	     6	  62	  62	  61	    61	     468	      468	      458	        458	     503	      503	      491	        491	
tutorials/Videos/05._Game_Pipeline_Integration_with_Babylon.js.md                       	  6	   6	   5	     5	  66	  66	  65	    65	     486	      486	      476	        476	     526	      526	      514	        514	
tutorials/Videos/06._Loading_Assets.md                                                  	  7	   7	   6	     6	  76	  76	  75	    75	     528	      528	      518	        518	     577	      577	      565	        565	
tutorials/Videos/07._Babylon.js_Advanced_Features.md                                    	  7	   7	   6	     6	  78	  78	  77	    77	     568	      568	      558	        558	     618	      618	      606	        606	
tutorials/Videos/08._Special_Effects.md                                                 	  6	   6	   5	     5	  68	  68	  67	    67	     505	      505	      495	        495	     545	      545	      533	        533	
tutorials/Videos/Video_courses.md                                                       	 18	  18	  17	    17	 235	 235	 234	   234	    1513	     1513	     1511	       1511	    1667	     1667	     1665	       1665	
tutorials/Videos/Zenva_course.md                                                        	  4	   4	   4	     4	  86	  86	  86	    86	     545	      545	      545	        545	     617	      617	      617	        617	
